INSTITUTO NOVA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA ORLANDO FAGNANI 488	NOVA CAMPINAS	13092054		CRM-SP 100435
MARCELO PRADO FORTUNA GERIN	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA BARRETO LEME 1865	CAMBUI	13025085	19-32520222;19-32522212;	CRM-SP 136028
MAURO SERGIO BRUNO	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA DOUTOR HERMAS BRAGA 777	NOVA CAMPINAS	13092133	19-32513467;19-32513747;	CRM-SP 71071
SOARES & VIAN OTORRINO E OFTALMO	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA COMENDADOR TORLOGO DAUNTRE 65	CAMBUI	13025270	19-32951117;	CRM-SP 104075
WH CLINICA CARDIOLOGICA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA COMENDADOR TORLOGO DAUNTRE 65	CAMBUI	13025270	19-32951117;	
CENTRO DE DESOSPITALIZACAO HUMANA - VIVER	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA PEDIATRICA	CAMPINAS	Prata QC	RUA CAMARGO PAES 776	JARDIM GUANABARA	13073350	19-25116989;19-25126989;	CRM-SP 51466
CAMPCOR	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA PEDIATRICA	CAMPINAS	Prata QC	RUA JOSE PAULINO 1244	CENTRO	13013001	19-32333776;19-32352830;	
CARDIOCAMP DIAGCAMP	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA PEDIATRICA	CAMPINAS	Prata QC	AVENIDA ANDRADE NEVES 707	CENTRO	13013161	19-32310909;	
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
MULTI CLINICAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA AMERICANA 127	JARDIM NOVO CAMPOS ELISEOS	13050551	19-32275711;	
OBESIMED	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-37563000;19-37563013;19-37563163;	CRM-SP 90003
CLINICA AUN	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA BARAO DE ATIBAIA 80	VILA ITAPURA	13023010	19-32325825;19-32327268;	CRM-SP 94323
