SYMCO MEDICINA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	RUA CORONEL QUIRINO 1483	CAMBUI	13025002	19-32556764;19-994715639;	
ASM - INSTITUTO DO RADIUM DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA TORACICA	AVENIDA DOUTOR HEITOR PENTEADO 1780	VILA LIDIA	13075460	19-37534100;	
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA TORACICA	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA TORACICA	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CENTRO MEDICO HOMEOPATICO DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	RUA CAMARGO PAES 642	JARDIM GUANABARA	13073350	19-32335513;	
CI - SANTA CLARA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	AVENIDA FRANCISCO GLICERIO 1867	CENTRO	13012000	19-32341187;	
CLINICA LIBERMAN	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-32324811;19-32324811;	
CLINICA MEDICA E DERMATOLOGICA AVANCADA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	RUA ITALIA 274	JARDIM RIBEIRO	13270180	19-38496221;19-33274838;	
CLINICA MEDICA MEDEIROS	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	RUA FREI ANTONIO DE PADUA 1263	JARDIM GUANABARA	13073330	19-32435917;19-32038272;19-998246994;	
CONEXA SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-SP 1006122
DULCE CORREA MAMPRIM PILOTO	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-21218044;	CRM-SP 39120
PERSONAL MED CENTER	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	RUA DOM NERY 725	VILA ANGELI	13271170	19-39691137;	
SYMCO MEDICINA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	RUA CORONEL QUIRINO 1483	CAMBUI	13025002	19-32556764;19-994715639;	
TEMPO MEDICINA DE FAMILIA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-PR 40626
THELMA ELAINE BRASILEIRO	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	RUA FRANCISCO ALVES 56	BOTAFOGO	13020380	19-33881943;19-25121941;	CRM-SP 104938
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CLINICA MEDICA E DERMATOLOGICA AVANCADA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	RUA ITALIA 274	JARDIM RIBEIRO	13270180	19-38496221;19-33274838;	
DERMAVISUS - CENTRO DE DERMATOLOGIA & OFTAMOLOGIA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	AVENIDA DOUTOR MORAES SALES 1136	CENTRO	13010001		
JG FOTOTERAPIA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	RUA CAMARGO PAES 662	JARDIM GUANABARA	13073350	19-32121717;19-32120408;	CRM-SP 955795
SYMCO MEDICINA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	RUA CORONEL QUIRINO 1483	CAMBUI	13025002	19-32556764;19-994715639;	
CONEXA SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA PEDIATRICA	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-SP 1006122
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CLINICA DA MULHER	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	AVENIDA DAS AMOREIRAS 425	SAO BERNARDO	13036225	19-32733036;	
CLINICA E LABORATORIO DA VITA	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	RODOVIA VISCONDE DE PORTO SEGURO 1751	SITIO RECREIO DOS CAFEZAIS	13278327		
MARCELO PEDRO RAMOS	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	RUA DOUTOR ERALDO AURELIO FRANZESE 57	PAIQUERE	13271608	19-38714212;	CRM-SP 73711
VITOR JOSE FANTINATO PANSANI	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	RUA VISCONDE DE TAUNAY 305	VILA ITAPURA	13023200	19-32319542;19-32365915;	CRM-SP 32449
CLINICA AUN	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA	RUA BARAO DE ATIBAIA 80	VILA ITAPURA	13023010	19-32325825;19-32327268;	CRM-SP 94323
CONEXA SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-SP 1006122
FATIMA CRISTINA DE FREITAS WHITACKER	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA	RUA FREI MANOEL DA RESSURREICAO 526	JARDIM GUANABARA	13073221	19-32317742;19-32352025;	
KIKLOS SAUDE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	AVENIDA JOSE BONIFACIO 718	JARDIM FLAMBOYANT	13091140	19-33427910;	CRFA-SP 4436
ANDREA MARY MASSUDA	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	RUA MANOEL ESTABINO DO NASCIMENTO 95	CASTELO	13271290	19-38714516;19-996471337;	CREFITO-SP 329076F
INSTITUTO PATRICIA LACOMBE REEDUCACAO DE	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	RUA R DOUTOR ANTONIO GALIZIA 25	CAMBUI	13024510	19-37514000;	CREFITO-SP 3428
MARY CLINICA	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	RUA MANOEL ESTABINO DO NASCIMENTO 95	CASTELO	13271290	19-38714516;19-996471337;	CREFITO-SP 3 - 10925
MARY CLINICA	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA PELVICA	RUA MANOEL ESTABINO DO NASCIMENTO 95	CASTELO	13271290	19-38714516;19-996471337;	CREFITO-SP 3 - 10925
KIKLOS SAUDE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA RESPIRATORIA	AVENIDA JOSE BONIFACIO 718	JARDIM FLAMBOYANT	13091140	19-33427910;	CRFA-SP 4436
ANDREA MARY MASSUDA	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA RESPIRATORIA	RUA MANOEL ESTABINO DO NASCIMENTO 95	CASTELO	13271290	19-38714516;19-996471337;	CREFITO-SP 329076F
CETE CENTRO ESP DE TERAPIA E ESTIM	CONSULTORIOS - CLINICAS - TERAPIAS	FONOAUDIOLOGIA	AVENIDA FRANCISCO JOSE DE CAMARGO ANDRADE 358	JARDIM CHAPADAO	13070055	19-32416050;19-33427730;	
KIKLOS SAUDE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	FONOAUDIOLOGIA	AVENIDA JOSE BONIFACIO 718	JARDIM FLAMBOYANT	13091140	19-33427910;	CRFA-SP 4436
O MUNDO EM LINGUAGEM CLINICA MULTIDISCIPLINAR LTDA	CONSULTORIOS - CLINICAS - TERAPIAS	FONOAUDIOLOGIA	AVENIDA DOUTOR HEITOR PENTEADO 1785	PARQUE TAQUARAL	13087000	19-32396345;	CRFA-SP 12440
VERA APARECIDA CAMILLI PASTRELLO	CONSULTORIOS - CLINICAS - TERAPIAS	FONOAUDIOLOGIA	RUA TIRADENTES 446	VILA ITAPURA	13023190		CRF-SP 1972
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CLINICA AUN	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	RUA BARAO DE ATIBAIA 80	VILA ITAPURA	13023010	19-32325825;19-32327268;	CRM-SP 94323
