DERMAVISUS - CENTRO DE DERMATOLOGIA & OFTAMOLOGIA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	VALINHOS	AVENIDA DOUTOR MORAES SALES 1136	CENTRO	13010001		
HELOISA GLEREAN GHISELLI	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	VALINHOS	AVENIDA INDEPENDENCIA 4688	CENTRO	13280000	19-38865208;	CRM-SP 75603
JG FOTOTERAPIA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	VALINHOS	RUA CAMARGO PAES 662	JARDIM GUANABARA	13073350	19-32121717;19-32120408;	CRM-SP 955795
SYMCO MEDICINA	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA	VALINHOS	RUA CORONEL QUIRINO 1483	CAMBUI	13025002	19-32556764;19-994715639;	
CONEXA SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	DERMATOLOGIA PEDIATRICA	VALINHOS	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-SP 1006122
AMIL - POLICLINICA DE VINHEDO	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	VALINHOS	RUA MANOEL MATHEUS 1473	CENTRO	13280970	11-45831216;	
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CLINICA DA MULHER	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	VALINHOS	AVENIDA DAS AMOREIRAS 425	SAO BERNARDO	13036225	19-32733036;	
CLINICA E LABORATORIO DA VITA	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	VALINHOS	AVENIDA MARECHAL CARMONA 1140	VILA JOAO JORGE	13041311	19-38812433;	
MARCELO PEDRO RAMOS	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	VALINHOS	RUA DOUTOR ERALDO AURELIO FRANZESE 57	PAIQUERE	13271608	19-38714212;	CRM-SP 73711
VITOR JOSE FANTINATO PANSANI	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA	VALINHOS	RUA VISCONDE DE TAUNAY 305	VILA ITAPURA	13023200	19-32319542;19-32365915;	CRM-SP 32449
CLINICA AUN	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA	VALINHOS	RUA BARAO DE ATIBAIA 80	VILA ITAPURA	13023010	19-32325825;19-32327268;	CRM-SP 94323
CONEXA SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA	VALINHOS	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-SP 1006122
FATIMA CRISTINA DE FREITAS WHITACKER	CONSULTORIOS - CLINICAS - TERAPIAS	ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA	VALINHOS	RUA FREI MANOEL DA RESSURREICAO 526	JARDIM GUANABARA	13073221	19-32317742;19-32352025;	
CLAUDIA SANCHEZ	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA NEUROLOGICA	VALINHOS	RUA MANOEL MATEUS 1084	CENTRO	13280970	19-38262111;	CRM-SP 12143
CLINICA DE FISIOTERAPIA FISIO ACAO EIRELI	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA NEUROLOGICA	VALINHOS	RUA DO CAFE 430	CAPELA	13280000	19-38364123;	CREFITO-SP 90262
CRISTINE RUGGIERO BARROSO	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA NEUROLOGICA	VALINHOS	RUA MANOEL MATEUS 1084	CENTRO	13280000	19-38262111;	CRM-SP 021825
KIKLOS SAUDE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	VALINHOS	AVENIDA JOSE BONIFACIO 718	JARDIM FLAMBOYANT	13091140	19-33427910;	CRFA-SP 4436
ANDREA MARY MASSUDA	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	VALINHOS	RUA MANOEL ESTABINO DO NASCIMENTO 95	CASTELO	13271290	19-38714516;19-996471337;	CREFITO-SP 329076F
CLAUDIA SANCHEZ	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	VALINHOS	RUA MANOEL MATEUS 1084	CENTRO	13280970	19-38262111;	CRM-SP 12143
CLINICA DE FISIOTERAPIA FISIO ACAO EIRELI	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	VALINHOS	RUA DO CAFE 430	CAPELA	13280000	19-38364123;	CREFITO-SP 90262
CRISTINE RUGGIERO BARROSO	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	VALINHOS	RUA MANOEL MATEUS 1084	CENTRO	13280000	19-38262111;	CRM-SP 021825
INSTITUTO PATRICIA LACOMBE REEDUCACAO DE	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	VALINHOS	RUA R DOUTOR ANTONIO GALIZIA 25	CAMBUI	13024510	19-37514000;	CREFITO-SP 3428
MARY CLINICA	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA ORTOPEDICA	VALINHOS	RUA MANOEL ESTABINO DO NASCIMENTO 95	CASTELO	13271290	19-38714516;19-996471337;	CREFITO-SP 3 - 10925
MARY CLINICA	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA PELVICA	VALINHOS	RUA MANOEL ESTABINO DO NASCIMENTO 95	CASTELO	13271290	19-38714516;19-996471337;	CREFITO-SP 3 - 10925
KIKLOS SAUDE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA RESPIRATORIA	VALINHOS	AVENIDA JOSE BONIFACIO 718	JARDIM FLAMBOYANT	13091140	19-33427910;	CRFA-SP 4436
ANDREA MARY MASSUDA	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA RESPIRATORIA	VALINHOS	RUA MANOEL ESTABINO DO NASCIMENTO 95	CASTELO	13271290	19-38714516;19-996471337;	CREFITO-SP 329076F
CLAUDIA SANCHEZ	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA RESPIRATORIA	VALINHOS	RUA MANOEL MATEUS 1084	CENTRO	13280970	19-38262111;	CRM-SP 12143
CLINICA DE FISIOTERAPIA FISIO ACAO EIRELI	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA RESPIRATORIA	VALINHOS	RUA DO CAFE 430	CAPELA	13280000	19-38364123;	CREFITO-SP 90262
CRISTINE RUGGIERO BARROSO	CONSULTORIOS - CLINICAS - TERAPIAS	FISIOTERAPIA RESPIRATORIA	VALINHOS	RUA MANOEL MATEUS 1084	CENTRO	13280000	19-38262111;	CRM-SP 021825
CETE CENTRO ESP DE TERAPIA E ESTIM	CONSULTORIOS - CLINICAS - TERAPIAS	FONOAUDIOLOGIA	VALINHOS	AVENIDA FRANCISCO JOSE DE CAMARGO ANDRADE 358	JARDIM CHAPADAO	13070055	19-32416050;19-33427730;	
KIKLOS SAUDE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	FONOAUDIOLOGIA	VALINHOS	AVENIDA JOSE BONIFACIO 718	JARDIM FLAMBOYANT	13091140	19-33427910;	CRFA-SP 4436
ENTRE SAUDE MENTAL E QUALIDADE DE VIDA	CONSULTORIOS - CLINICAS - TERAPIAS	FONOAUDIOLOGIA	VALINHOS	RUA VICENTE ROTELLA 60	CENTRO	13280000	19-38362498;	
FISIOCLINICA VINHEDO	CONSULTORIOS - CLINICAS - TERAPIAS	FONOAUDIOLOGIA	VALINHOS	RUA ANTONIO VON ZUBEN 433	CENTRO	13280000	19-38760131;	
